example,stiffness,friction,target_force,penetration,force,normal_kp,normal_kd,y_gain,target_scale
45,226.9401,0.0937,12.9702,0.04413,9.4817,106.7157,18.5579,8.3077,1.8507
46,454.9984,0.3300,21.7688,0.02009,9.2179,160.8617,27.2897,7.2469,0.9231
47,521.4686,0.3294,21.1650,0.01236,6.5929,175.2788,29.2796,6.2163,0.8054
48,267.0942,0.1096,10.8499,0.00410,1.2027,126.2881,16.8896,7.9222,1.5725
49,367.9634,0.6083,8.4098,0.02824,10.3260,124.4102,26.9049,5.7994,1.1414
50,208.1485,0.5122,12.1147,0.01656,3.2373,115.7527,21.3417,5.7794,2.0000
51,513.3260,0.6844,8.9248,0.01080,5.1879,150.2199,31.8747,5.6497,0.8182
52,548.6949,0.3230,9.6564,0.00234,1.1041,166.1192,27.0450,6.9613,0.7655
53,608.3301,0.7370,9.6764,0.00743,4.5795,167.4628,35.1462,4.5044,0.6904
54,805.6794,0.3125,20.7114,0.00059,1.2783,205.0000,34.6704,7.5102,0.5213
55,549.6452,0.2693,16.2790,0.01066,6.2765,169.4524,29.6435,6.8555,0.7641
56,758.8620,0.5379,9.5779,0.01620,12.1657,184.5224,36.0000,5.5454,0.5535
57,499.3600,0.5184,13.5700,0.00842,3.9824,160.9965,30.1281,5.9320,0.8411
58,934.5593,0.8348,10.1484,0.00846,6.9541,205.0000,36.0000,4.0937,0.4494
59,216.4374,0.7277,19.0148,0.03952,8.3624,120.9011,23.3149,4.5436,1.9405
60,203.4794,0.3387,9.4389,0.02656,5.1241,105.0145,19.8137,7.6989,2.0000
61,271.4534,0.3660,13.5435,0.01695,4.6686,125.2427,22.0716,6.0628,1.5472
62,545.4241,0.2267,12.3772,0.00050,0.5784,172.7709,26.1765,7.2681,0.7700
63,714.0212,0.5967,10.5481,0.00065,0.4021,194.4243,34.1944,6.3300,0.5882
64,464.0720,0.5101,9.3724,0.02164,10.3458,136.7523,29.0029,6.4782,0.9050
65,462.6992,0.1939,7.1404,0.00111,0.4752,149.0684,23.4322,8.3641,0.9077
66,751.3251,0.4983,15.2255,0.00715,5.4137,199.2848,36.0000,6.7034,0.5590
67,636.3616,0.6939,10.1577,0.00626,4.1043,173.7716,35.6421,6.0422,0.6600
68,511.4607,0.8286,12.6714,0.00264,1.2384,166.8716,29.9726,4.5953,0.8212
69,662.7281,0.8450,16.1655,0.00720,4.1668,190.8062,36.0000,5.3607,0.6337
70,828.4534,0.3360,18.8085,0.02799,22.8273,198.1092,36.0000,7.4765,0.5070
71,707.5723,0.6561,14.6818,0.00234,1.8558,199.3531,34.4761,6.3650,0.5936
72,592.7593,0.1692,19.4915,0.03086,18.5462,155.9935,30.1360,6.8896,0.7086
73,244.8812,0.3998,10.0354,0.03259,8.2810,105.5919,21.5447,6.3185,1.7151
74,836.3262,0.5975,9.0502,0.00977,8.0002,192.7589,36.0000,5.7956,0.5022
75,579.8032,0.3628,17.7845,0.00700,4.1986,181.8593,31.2964,6.7184,0.7244
76,316.2604,0.3291,8.6633,0.00420,1.3468,128.5354,20.1208,7.4028,1.3280
77,722.5737,0.6760,11.8469,0.01679,11.7128,173.6810,36.0000,4.7606,0.5813
78,367.8463,0.5408,9.8258,0.02548,8.6128,122.8455,26.3621,6.8554,1.1418
79,785.4602,0.6854,18.5866,0.02519,19.7394,185.3552,36.0000,5.6619,0.5347
80,674.5129,0.0669,18.4091,0.01425,9.5199,185.7331,31.7702,8.1400,0.6227
81,523.3113,0.1446,16.5493,0.02008,10.9783,155.7530,27.8565,7.9665,0.8026
82,659.2689,0.2761,19.8885,0.00571,3.2663,200.4592,32.9865,7.6975,0.6371
83,208.2591,0.0793,21.3306,0.02619,4.9626,132.2483,17.8823,8.7323,2.0000
84,811.2147,0.6600,15.2100,0.00792,6.6853,205.0000,36.0000,6.3121,0.5177
85,253.9440,0.4064,13.2550,0.05686,13.9265,92.9448,22.1778,5.9199,1.6539
86,595.8330,0.3081,15.1215,0.00464,3.4427,180.0684,28.3395,7.2370,0.7049
87,881.7397,0.0773,15.4799,0.01622,13.9817,200.5570,36.0000,8.0989,0.4763
88,444.8254,0.2051,9.4889,0.00918,4.3247,143.0849,25.9855,7.4758,0.9442
89,602.2339,0.2544,17.5038,0.01972,12.1700,167.0696,31.1020,7.0697,0.6974
90,927.2255,0.6707,20.5119,0.02363,21.3553,205.0000,36.0000,5.2482,0.4530
91,592.3999,0.2775,13.1466,0.01700,9.9321,160.9319,30.9919,7.8537,0.7090
92,548.3704,0.6426,12.3899,0.01357,7.2771,158.5038,32.5917,6.2001,0.7659
93,323.8650,0.5754,17.0154,0.00886,3.1078,144.1764,25.3194,5.1832,1.2968
94,749.3272,0.8516,17.8845,0.00034,0.2969,205.0000,36.0000,5.4770,0.5605
95,596.4423,0.7354,21.4073,0.00504,3.3805,194.1253,34.7764,5.9061,0.7042
96,452.6324,0.3108,8.2104,0.00145,1.1203,148.4930,24.0655,6.5582,0.9279
97,433.7129,0.2704,18.5389,0.01278,5.4920,158.7602,26.1745,7.9267,0.9684
98,860.2651,0.5770,7.3532,0.00161,1.3929,205.0000,36.0000,6.0735,0.4882
99,308.8305,0.4779,12.4842,0.01750,4.8456,128.1294,24.0882,6.6985,1.3600
100,658.1301,0.2981,9.9810,0.00492,3.2565,178.5134,30.1289,6.3479,0.6382
101,580.3677,0.6069,9.4598,0.00458,2.4881,167.3929,30.2665,5.0509,0.7237
102,643.8547,0.8315,10.0310,0.00121,1.3170,180.7490,33.9679,5.4303,0.6523
103,638.8205,0.8364,19.9598,0.00578,4.0750,195.7695,36.0000,5.1215,0.6575
104,948.1869,0.3937,20.2113,0.03177,30.0174,205.0000,36.0000,7.1633,0.4430
105,899.1300,0.2691,16.5936,0.02237,19.9233,205.0000,36.0000,7.1410,0.4671
106,191.2773,0.2450,17.6194,0.04344,8.9516,112.7607,18.6987,6.5708,2.0000
107,206.8692,0.1931,6.5452,0.03078,5.9533,97.3327,18.7506,6.8043,2.0000
108,473.7315,0.0686,18.0790,0.01205,5.8265,163.0154,25.7604,8.9039,0.8866
109,950.2711,0.0803,14.5687,0.01492,14.3133,205.0000,36.0000,8.2072,0.4420
110,337.0338,0.2631,10.1504,0.02503,8.1006,120.0647,23.2160,6.9457,1.2462
111,942.3766,0.6459,8.2562,0.00220,2.0613,205.0000,36.0000,5.5291,0.4457
112,933.8548,0.6296,20.7769,0.00859,7.9077,205.0000,36.0000,6.0549,0.4497
113,192.0719,0.1020,13.9841,0.06989,13.5071,70.4661,18.2257,6.3002,2.0000
114,596.6739,0.3777,8.2866,0.01118,6.5331,158.3588,31.9221,6.5194,0.7039
115,606.9467,0.8145,11.9246,0.00776,4.5394,172.2895,35.7248,5.5015,0.6920
116,619.6446,0.5691,11.3603,0.01367,8.8745,163.4156,34.1418,6.5841,0.6778
117,512.9744,0.2850,15.5683,0.02792,14.1960,144.9652,28.6690,6.4031,0.8188
118,665.9517,0.1853,18.2602,0.01645,10.7802,181.3488,32.4612,6.8216,0.6307
119,391.1683,0.4528,19.0052,0.01740,7.3333,149.3535,26.3574,7.0671,1.0737
120,710.7448,0.7849,15.9819,0.00532,4.0473,197.8677,36.0000,5.4601,0.5909
121,484.8111,0.5638,13.3556,0.00809,4.0296,158.2388,30.0547,5.3387,0.8663
122,508.3914,0.5642,20.5894,0.04696,23.7749,146.3446,30.8165,6.1477,0.8261
123,603.2702,0.6101,8.7517,0.01218,7.3864,158.4941,33.9785,5.1999,0.6962
124,607.2313,0.2036,19.0185,0.01334,7.5347,181.3490,30.8455,6.7450,0.6917
125,796.2318,0.1244,15.2499,0.00947,7.8050,200.8135,35.8826,7.0773,0.5275
126,529.7386,0.7428,20.9728,0.00127,0.0873,190.4089,29.8348,5.5499,0.7928
127,219.6437,0.1833,20.6551,0.02568,6.1318,129.8978,19.0561,8.1714,1.9122
128,512.5961,0.1812,11.4332,0.01614,8.5984,148.1259,27.8276,8.1576,0.8194
129,369.2346,0.1546,17.5693,0.05387,19.8061,116.6099,23.5444,7.2972,1.1375
130,587.7187,0.8449,13.9690,0.01278,7.5394,167.3029,35.3907,5.5188,0.7146
131,256.9143,0.6505,17.5818,0.02867,7.2866,126.1865,23.9118,5.4112,1.6348
132,363.9540,0.6949,11.8308,0.01254,5.0293,134.5566,27.4777,4.7754,1.1540
133,903.8224,0.0699,17.0229,0.01199,10.6460,205.0000,36.0000,8.6483,0.4647
134,895.2937,0.3187,11.1672,0.00661,5.7072,205.0000,36.0000,6.2615,0.4691
135,860.8773,0.2032,13.2054,0.00201,1.3717,205.0000,35.4521,7.3925,0.4879
136,691.0308,0.3688,14.4275,0.01750,11.6618,174.7390,34.6817,6.0509,0.6078
137,747.2324,0.5770,18.0219,0.01174,8.8445,197.2753,36.0000,6.1033,0.5621
138,800.5994,0.6350,18.0686,0.01544,12.0191,198.3988,36.0000,5.3828,0.5246
139,724.3256,0.6784,8.3458,0.00226,2.3325,186.8782,35.1573,5.6031,0.5798
140,862.8348,0.4876,6.9408,0.00053,0.3944,205.0000,36.0000,5.5523,0.4868
141,427.1420,0.6148,19.8443,0.03605,15.9713,137.5920,28.7328,6.1458,0.9833
142,861.4509,0.3835,17.1949,0.02734,23.2898,205.0000,36.0000,6.6780,0.4875
143,429.6189,0.6778,8.2186,0.00502,2.5674,141.8756,29.3106,5.7248,0.9776
144,420.9863,0.2477,18.1441,0.04318,17.8814,128.7258,25.6109,7.7728,0.9977
145,569.9448,0.2452,20.7483,0.01245,7.0635,180.5982,30.0603,7.3269,0.7369
146,530.6155,0.2880,13.0402,0.01128,6.4465,159.0985,29.2223,6.4632,0.7915
147,948.6813,0.3992,16.6487,0.01306,12.5635,205.0000,36.0000,7.4540,0.4427
148,900.6716,0.5339,18.5204,0.00193,1.5859,205.0000,36.0000,5.9204,0.4663
149,343.3432,0.2975,18.2788,0.01794,6.2190,143.0331,23.6799,6.3507,1.2233
150,915.5657,0.6898,17.1227,0.01366,12.2018,205.0000,36.0000,4.7027,0.4587
151,470.8899,0.2668,21.2897,0.00789,4.1988,173.2335,27.2613,6.9931,0.8919
152,600.4664,0.1052,12.2092,0.01765,10.5912,158.6294,29.8559,8.4186,0.6995
153,318.6783,0.5622,20.1029,0.01220,4.3184,147.5277,25.0583,5.9871,1.3179
154,551.1784,0.4152,10.3866,0.01306,6.6110,155.9830,30.8570,6.7763,0.7620
155,812.6085,0.3530,13.9218,0.00251,2.2231,205.0000,35.2023,7.4149,0.5169
156,493.1680,0.4806,20.0362,0.00093,0.7718,181.3570,26.6402,6.7996,0.8516
157,356.8890,0.7311,13.8343,0.03007,10.2442,126.4314,27.5554,6.1218,1.1768
158,445.7462,0.2958,8.6634,0.02306,10.2559,135.3655,26.7388,6.3576,0.9422
159,261.0654,0.3028,19.5815,0.05122,13.4855,111.4789,21.4162,6.1106,1.6088
160,601.0381,0.0883,18.0551,0.01066,6.3527,180.9011,29.7375,8.7720,0.6988
161,312.6677,0.3579,12.9615,0.06945,21.3615,106.4194,23.8793,6.6736,1.3433
162,747.4728,0.4006,8.9087,0.00660,5.5202,184.5755,36.0000,6.4304,0.5619
163,285.2776,0.2041,13.1245,0.00715,1.9666,132.3389,21.1910,8.0535,1.4723
164,890.0217,0.0909,10.8382,0.00508,4.3486,205.0000,36.0000,7.8865,0.4719
165,405.0734,0.7707,7.3675,0.00006,-0.1015,142.1929,26.3178,4.3631,1.0368
166,533.7736,0.0872,17.5297,0.00513,2.9638,177.1110,27.7104,8.7893,0.7869
167,901.0235,0.8130,12.4011,0.01151,10.3709,204.6201,36.0000,4.1856,0.4661
168,859.8381,0.6514,18.1400,0.00387,2.9631,205.0000,36.0000,5.9799,0.4885
169,690.4660,0.6614,12.9873,0.01328,9.0171,177.3044,36.0000,4.8219,0.6083
170,958.2013,0.4173,18.5721,0.00420,4.5274,205.0000,36.0000,5.8471,0.4383
171,384.2382,0.3862,14.3905,0.02960,11.4904,129.0159,25.6168,5.9780,1.0931
172,531.4611,0.5211,10.7841,0.00662,3.7253,160.2483,31.1129,6.5676,0.7903
173,581.1724,0.4774,18.9739,0.00884,4.8228,183.3082,32.2542,5.5950,0.7227
174,615.1072,0.6317,7.1546,0.01048,6.5253,158.6506,34.5072,4.9467,0.6828
175,375.9435,0.3126,18.1142,0.00590,2.1975,156.4081,24.7793,7.3236,1.1172
176,446.5469,0.6416,21.5228,0.01938,8.8885,159.7776,29.5294,5.4454,0.9406
177,195.4776,0.4314,14.8476,0.00118,-0.0241,127.0392,17.3156,6.9944,2.0000
178,409.4386,0.3376,13.8513,0.02244,9.5090,135.9687,25.9843,7.5603,1.0258
179,478.6162,0.5018,17.4672,0.02418,11.8506,149.1489,29.3731,5.9663,0.8775
180,778.3208,0.5184,13.4896,0.00055,0.9022,205.0000,35.4965,6.3637,0.5396
181,490.0265,0.1144,19.9966,0.05186,25.8824,144.7304,26.7941,8.2718,0.8571
182,238.5759,0.3590,21.2388,0.03885,8.8435,128.0559,21.0293,6.4474,1.7604
183,806.3830,0.7958,9.0269,0.00643,5.6770,193.3272,36.0000,5.8560,0.5208
184,832.0204,0.3115,18.9980,0.00025,0.3452,205.0000,35.4525,6.9636,0.5048
185,527.8459,0.5881,12.0092,0.01990,10.0011,148.5948,31.5402,6.2957,0.7957
186,686.9304,0.2883,19.2139,0.03027,20.6802,171.2654,33.9141,6.4531,0.6114
187,627.9644,0.7707,20.5944,0.02965,19.0960,162.4912,36.0000,5.5748,0.6688
188,527.4628,0.7372,14.0856,0.01350,6.9681,159.7779,32.7214,4.7579,0.7963
189,763.9995,0.6992,17.6549,0.02474,18.4649,181.3821,36.0000,6.1225,0.5497
190,320.6915,0.3408,10.6012,0.01364,3.8859,127.8774,23.3472,6.3745,1.3097
191,758.4672,0.1678,10.0503,0.00940,7.4682,184.4509,35.0968,6.8950,0.5537
192,432.0889,0.1608,20.0090,0.05845,25.9338,129.6697,25.5987,7.6190,0.9720
193,275.9107,0.2444,17.1222,0.00623,1.4633,140.8362,21.2325,8.1480,1.5222
194,257.9296,0.3489,10.2454,0.01466,3.3305,118.9021,21.5293,7.5433,1.6284
195,350.3688,0.7207,21.5867,0.05505,19.3403,112.6527,27.5375,4.4154,1.1987
196,236.6918,0.5459,21.0431,0.02149,4.2643,137.4171,22.4680,5.7571,1.7745
197,369.5248,0.8387,11.0799,0.02202,8.3894,126.3479,28.7955,4.2179,1.1366
198,709.0853,0.6992,13.2093,0.00558,3.8455,191.9632,36.0000,5.6160,0.5923
199,662.8770,0.5247,8.9268,0.00011,-0.5956,185.3809,32.0841,6.0098,0.6336
200,938.8754,0.1468,16.7357,0.00724,7.0099,205.0000,36.0000,8.3856,0.4473
201,264.9746,0.6961,18.4009,0.00825,1.8145,141.2364,24.5184,4.8594,1.5851
202,403.0259,0.7071,6.9393,0.02259,8.9912,129.9681,28.7473,5.4545,1.0421
203,867.2608,0.2872,14.0278,0.00804,6.4963,205.0000,36.0000,6.4260,0.4843
204,372.6579,0.6745,19.8443,0.01359,5.0371,153.4745,27.5758,6.1162,1.1270
205,572.8495,0.7507,18.8748,0.02132,12.6710,164.5759,34.1911,5.3000,0.7332
206,453.2677,0.3372,8.1178,0.00033,0.7738,149.1471,24.2959,7.5807,0.9266
207,858.4844,0.6532,11.8886,0.00324,2.7233,205.0000,36.0000,5.6457,0.4892
208,209.2126,0.3149,6.8699,0.02126,4.0409,102.6056,19.7958,6.6775,2.0000
209,539.5228,0.2063,8.6906,0.00893,4.9554,154.1457,28.8365,7.5106,0.7785
210,654.1537,0.5499,11.3480,0.01740,11.0066,163.8742,35.0242,6.8072,0.6421
211,554.4922,0.7929,12.6361,0.00022,-0.1668,176.3403,30.9783,5.5011,0.7574
212,799.1905,0.0906,6.8378,0.00429,3.5322,192.1509,32.7005,7.5786,0.5255
213,851.7024,0.8402,18.2634,0.01011,8.2331,205.0000,36.0000,5.0105,0.4931
214,474.6650,0.7495,7.6545,0.01460,6.5564,138.6156,31.2357,5.5630,0.8848
215,542.1269,0.4278,9.8841,0.00208,0.4569,167.0588,27.6862,6.1246,0.7747
216,277.0683,0.8222,10.3502,0.00219,1.3143,126.4390,22.8897,4.9696,1.5159
217,790.6265,0.1842,20.3786,0.03086,24.4577,192.5679,36.0000,8.1422,0.5312
218,889.8221,0.4728,16.1074,0.00073,0.2745,205.0000,36.0000,6.6923,0.4720
219,699.3821,0.3071,13.6443,0.00785,5.1111,188.6803,34.4386,7.8619,0.6005
220,286.0851,0.4204,16.8786,0.00266,0.3504,144.2748,19.9461,5.8342,1.4681
221,341.7400,0.6568,20.8530,0.00265,0.9074,160.1414,23.5067,4.8414,1.2290
222,692.4426,0.2017,19.1487,0.00694,4.8943,200.2260,33.3871,7.6017,0.6065
223,415.0079,0.3086,14.2760,0.00972,3.4859,150.9894,25.9187,7.4654,1.0120
224,245.8020,0.5883,21.9902,0.05434,12.9116,112.6907,23.3229,5.6080,1.7087
225,341.3334,0.3038,19.3226,0.03999,13.0188,130.0682,23.6707,6.5882,1.2305
226,533.8348,0.3239,21.3113,0.02190,11.8527,165.8841,29.6060,7.0749,0.7868
227,725.3614,0.0990,9.1644,0.00593,4.7398,183.5383,33.5527,7.1843,0.5790
228,240.3409,0.3617,17.8622,0.01960,4.7983,129.7917,21.1036,6.9283,1.7475
229,445.4566,0.6140,16.9972,0.01610,7.1454,153.4924,29.2761,6.2817,0.9429
230,411.9647,0.1581,16.0196,0.00959,3.1340,155.1430,24.6238,7.7727,1.0195
231,835.0058,0.8498,18.5674,0.04012,33.9876,205.0000,36.0000,5.5929,0.5030
232,695.2593,0.8415,6.7126,0.00051,0.4223,183.1276,35.5901,4.8309,0.6041
233,288.6212,0.1720,14.9426,0.02141,5.9940,127.9799,21.0348,8.4078,1.4552
234,245.8000,0.6188,18.8348,0.00944,2.3578,138.1193,23.3243,6.0856,1.7087
235,911.2450,0.7960,11.3116,0.00518,4.6436,205.0000,36.0000,5.6884,0.4609
236,370.5717,0.4314,15.6947,0.02503,9.2721,134.7156,25.5687,6.8204,1.1334
237,394.2099,0.7209,12.4355,0.05134,19.5804,133.6410,28.7585,4.3503,1.0654
238,312.7342,0.6355,7.2406,0.00627,1.5150,124.5066,25.4662,5.8851,1.3430
239,742.8624,0.8123,18.1538,0.02614,19.4798,179.3465,36.0000,4.9099,0.5654
240,203.4580,0.7578,15.5066,0.06103,12.1209,87.2562,23.5828,4.6022,2.0000
241,269.4568,0.8563,20.5659,0.05345,14.9076,109.5864,26.1537,4.8159,1.5587
242,311.5821,0.5682,19.3064,0.04169,13.4183,124.6911,24.8930,6.2720,1.3480
243,344.8629,0.4111,12.2773,0.02868,9.8211,122.1329,24.6345,7.3808,1.2179
244,905.4055,0.5379,21.9110,0.00945,7.9653,205.0000,36.0000,5.4807,0.4639
245,240.6444,0.7391,19.8774,0.04502,10.5621,121.5728,24.1326,5.4901,1.7453
246,326.1661,0.2782,7.4096,0.02813,9.4052,118.3154,23.0108,7.7346,1.2877
247,366.5821,0.2903,10.9652,0.03561,13.1445,124.7818,24.3196,7.7365,1.1457
248,206.6204,0.6290,19.2437,0.02457,5.4445,126.3513,22.2303,5.9554,2.0000
249,224.1585,0.5285,10.9031,0.00138,0.2535,122.0529,18.9525,6.2730,1.8737
250,530.0873,0.1177,9.8340,0.01641,8.7137,146.9778,27.8441,8.5376,0.7923
251,272.4380,0.1136,18.7850,0.02742,8.1342,129.2974,20.0821,7.8186,1.5416
252,743.9490,0.5311,19.3511,0.01025,7.5233,202.6134,36.0000,6.3802,0.5646
253,673.9406,0.6454,14.2813,0.00636,3.5999,189.5902,36.0000,4.8893,0.6232
254,479.1353,0.7061,19.3621,0.02513,11.9011,153.2844,31.0228,6.1106,0.8766
255,263.2925,0.3123,6.6603,0.03166,8.8346,109.2771,21.3974,7.3369,1.5952
256,489.3322,0.7503,9.1458,0.00326,1.8382,154.4767,28.6828,5.1490,0.8583
257,756.3386,0.5790,19.1880,0.03586,27.1157,195.8917,36.0000,6.2054,0.5553
258,305.7818,0.7402,6.8556,0.00725,2.3930,120.6850,26.0950,5.9660,1.3735
259,507.6520,0.1492,18.3226,0.01226,6.1873,167.8455,27.4231,7.5348,0.8273
260,373.3356,0.7285,16.5515,0.00422,1.2699,154.6197,25.0281,5.5459,1.1250
261,775.9858,0.8048,13.5028,0.00957,7.3881,194.8503,36.0000,4.5694,0.5412
262,369.8988,0.2751,11.4108,0.05075,18.7012,130.8935,24.4474,7.0393,1.1354
263,483.3520,0.5287,10.1016,0.01273,6.6529,145.0899,29.7298,5.3796,0.8689
264,690.1268,0.2631,20.0512,0.02062,14.2375,181.3091,33.8085,7.8321,0.6086
265,456.0169,0.0798,21.3452,0.01403,5.9402,167.2935,25.3193,8.1632,0.9210
266,259.7996,0.1464,17.4583,0.02093,4.9965,131.3858,19.9651,8.4340,1.6166
267,669.6670,0.4061,10.7065,0.01626,10.5731,165.7435,34.3390,6.5771,0.6272
268,237.7754,0.4597,12.3503,0.01911,4.9405,116.9679,21.8107,6.1774,1.7664
269,822.0867,0.8418,8.8197,0.00421,2.8437,201.4601,36.0000,5.1398,0.5109
270,830.8392,0.6498,18.4509,0.01596,13.1292,201.3336,36.0000,6.0149,0.5055
271,308.6925,0.1515,15.0657,0.00719,2.5648,138.8059,21.4727,7.8936,1.3606
272,192.6562,0.5724,6.5505,0.00315,0.7285,106.7067,18.3592,6.0259,2.0000
273,299.6752,0.1940,6.8165,0.01840,5.6525,112.5119,21.5426,6.8691,1.4015
274,893.9140,0.1123,15.9808,0.01140,9.8082,205.0000,36.0000,8.2039,0.4698
275,586.6977,0.4372,14.0475,0.01852,10.8038,160.1407,32.0989,7.0584,0.7159
276,268.9397,0.2500,18.2813,0.02662,7.4343,129.2044,21.0685,7.4824,1.5617
277,913.8009,0.6290,10.6305,0.00559,4.8935,205.0000,36.0000,5.5778,0.4596
278,891.7809,0.3910,12.6749,0.00454,3.5774,205.0000,36.0000,7.3072,0.4710
279,681.6448,0.0818,12.4360,0.00753,5.3067,182.9311,32.1037,7.5715,0.6162
280,556.0546,0.1644,21.3550,0.01553,8.1401,177.4809,28.9971,8.2477,0.7553
281,565.5332,0.5957,11.8262,0.01745,10.4375,152.8852,32.7317,6.0672,0.7427
282,220.5303,0.8568,21.7741,0.01262,2.0487,141.4754,24.4702,5.1738,1.9045
283,435.8217,0.1925,16.2950,0.00085,-0.0949,166.4311,22.6148,6.7914,0.9637
284,416.3612,0.5901,7.0316,0.01497,6.6575,128.2772,28.2114,5.1217,1.0087
285,321.5406,0.5314,13.9165,0.00620,2.0365,139.3671,24.8971,6.2423,1.3062
286,413.6535,0.8374,21.3822,0.03706,15.0644,140.9473,30.1091,4.2442,1.0153
287,222.9675,0.4947,13.2913,0.06417,13.8115,80.7986,22.1454,6.4030,1.8837
288,215.1400,0.1255,21.6938,0.05502,12.1851,108.3730,18.7190,6.7221,1.9522
289,680.9609,0.1561,14.8119,0.02100,13.7517,169.4765,32.6778,7.2048,0.6168
290,593.5528,0.8559,18.5385,0.05071,29.7370,173.0696,35.8025,3.8051,0.7076
291,776.7726,0.3433,12.0377,0.02121,16.2946,190.8812,36.0000,6.4417,0.5407
292,745.4184,0.8015,14.5593,0.00785,5.9942,195.6560,36.0000,4.4015,0.5634
293,441.1613,0.1414,16.4590,0.01103,5.0882,156.1900,25.3661,8.1222,0.9520
294,245.4279,0.4538,12.6421,0.04732,11.8504,101.2820,22.0537,7.0251,1.7113
